segment,segment_value,MAE,RMSE,MAPE,sMAPE,n,fold,model
month,8,0.016994763951032443,0.03777755163666114,2.121041092340011,2.0907298063015234,4438,2,random_forest
month,9,0.014490411160862297,0.027305974521450598,2.462217293172972,2.4409801402847537,34796,2,random_forest
hour,0,0.04068275862068966,0.139862017388732,4.992300210510469,4.681764051451054,1740,3,baseline_lag1
hour,1,0.03819425287356322,0.16591257218545977,5.917322173194872,5.324579637457422,1740,3,baseline_lag1
hour,2,0.028086206896551724,0.09153602393681365,5.42869367756476,4.957712739354619,1740,3,baseline_lag1
hour,3,0.025775862068965514,0.08792317702102935,5.24467478249002,4.6451302844076485,1740,3,baseline_lag1
hour,4,0.023339080459770116,0.07440320410848714,4.998065598818977,4.7307567264117285,1740,3,baseline_lag1
hour,5,0.02534712643678161,0.0852958340737977,5.313336660983236,5.004813576169313,1740,3,baseline_lag1
hour,6,0.06660689655172414,0.17991676236335052,6.2169473844755085,6.557212428591043,1740,3,baseline_lag1
hour,7,0.12069540229885059,0.2812830741727841,5.876978118427025,5.674761327478735,1740,3,baseline_lag1
hour,8,0.0785,0.23874487417016668,4.950975406516563,4.600537051432909,1740,3,baseline_lag1
hour,9,0.09436436781609195,0.2680742777492921,6.188344254299731,5.569973063398819,1740,3,baseline_lag1
hour,10,0.08661839080459771,0.24054078919045688,6.746077656810449,6.307654098694059,1740,3,baseline_lag1
hour,11,0.1288264367816092,0.373037753474419,8.066152618957197,7.458410928993755,1740,3,baseline_lag1
hour,12,0.14850459770114943,0.36023278871996856,10.06920689689123,8.94570431273666,1740,3,baseline_lag1
hour,13,0.08590574712643678,0.23935782860592325,7.280279820192876,6.902041666945226,1740,3,baseline_lag1
hour,14,0.10705977011494253,0.326328964548733,7.747889796799036,6.880008713576342,1740,3,baseline_lag1
hour,15,0.09361932144910867,0.27677307537067936,8.579549682709702,7.823010114952609,1739,3,baseline_lag1
hour,16,0.06468275862068965,0.212305028879102,7.203358542986256,6.557073096610426,1740,3,baseline_lag1
hour,17,0.06445287356321838,0.21024612834189985,6.494585032635538,6.080774434999969,1740,3,baseline_lag1
hour,18,0.1357471264367816,0.33726156839646193,9.303840575630334,8.63910688620964,1740,3,baseline_lag1
hour,19,0.17630689655172413,0.38068644894951686,8.302931889119357,7.982968827291978,1740,3,baseline_lag1
hour,20,0.12364712643678161,0.3071822589764667,5.969232805263081,5.811669923013092,1740,3,baseline_lag1
hour,21,0.15248722519310756,0.38996889739926666,6.667059816434964,6.270347963443848,1683,3,baseline_lag1
hour,22,0.07370787809085681,0.22404232841668373,6.047479450972361,5.296469030435173,1739,3,baseline_lag1
hour,23,0.0602712643678161,0.19074292743851892,6.168649388479997,5.668718081633592,1740,3,baseline_lag1
day_of_week,0,0.09976527777777779,0.2761406420045167,6.335001349460219,6.016689595327096,5760,3,baseline_lag1
day_of_week,1,0.08731076713726824,0.2451174127050675,6.972520406864394,6.67080390514609,5879,3,baseline_lag1
day_of_week,2,0.061188950590915565,0.1963460477536046,5.863388323827669,5.364005958625185,7023,3,baseline_lag1
day_of_week,3,0.0775920138888889,0.2392373197034461,6.62860826861294,6.059782506552572,5760,3,baseline_lag1
day_of_week,4,0.06635381944444443,0.19575439366432848,6.2864648782583705,5.7526984924280145,5760,3,baseline_lag1
day_of_week,5,0.0904,0.27843000816083824,6.622046025025667,6.117649971887909,5760,3,baseline_lag1
day_of_week,6,0.11793679458239277,0.33680790446147046,8.060176209018778,7.461816360509324,5759,3,baseline_lag1
month,9,0.05973457819273091,0.18720403605969346,5.885043447033085,5.528763009464948,2999,3,baseline_lag1
month,10,0.08701266084440082,0.25960538260857524,6.717036519128258,6.232613214352049,38702,3,baseline_lag1
hour,0,0.30030804597701155,0.5211019138303957,48.63578339775188,34.8062225285079,1740,3,baseline_lag24
hour,1,0.24273218390804596,0.454394317088472,47.87198685290841,33.383088861548046,1740,3,baseline_lag24
hour,2,0.24766896551724135,0.4301535411518976,45.59718294545244,36.254543800962566,1740,3,baseline_lag24
hour,3,0.18547816091954022,0.3489711314345538,40.029252786226834,29.43167559276965,1740,3,baseline_lag24
hour,4,0.17758735632183906,0.331369519752028,40.10558561784011,30.493882730536644,1740,3,baseline_lag24
hour,5,0.19337701149425288,0.3510738992842115,41.51389906085806,33.08970734859788,1740,3,baseline_lag24
hour,6,0.49715632183908043,0.8377516763721621,44.84852534552557,52.77560847194306,1740,3,baseline_lag24
hour,7,0.6561574712643677,0.9118511133258341,36.62717034333717,38.53653548898908,1740,3,baseline_lag24
hour,8,0.5083390804597702,0.7497754744381584,40.34128204284029,30.269442774048883,1740,3,baseline_lag24
hour,9,0.5239528735632184,0.9199444048669339,54.265094991398946,35.01573893457591,1740,3,baseline_lag24
hour,10,0.5058413793103448,0.8557194029304958,55.11839005050331,36.584795258501934,1740,3,baseline_lag24
hour,11,0.6010701149425288,0.9928493108337179,54.37827673824288,43.40848156006749,1740,3,baseline_lag24
hour,12,0.7574701149425288,1.1750099212102545,78.8612754057212,48.54302723238569,1740,3,baseline_lag24
hour,13,0.4318459770114943,0.7971985979652129,47.582179315258145,34.34981614272875,1740,3,baseline_lag24
hour,14,0.5048011494252874,0.8655017400727544,44.94925212003358,37.027911545768134,1740,3,baseline_lag24
hour,15,0.4438412880966072,0.7725464610640499,55.14411757952767,37.586865600930125,1739,3,baseline_lag24
hour,16,0.4476413793103448,0.7762962078349027,53.06077096574714,41.23654398299975,1740,3,baseline_lag24
hour,17,0.3959908045977011,0.7439987269795065,53.38057135533839,39.02671401027789,1740,3,baseline_lag24
hour,18,0.7056655172413793,1.2178558254137692,52.9676465870477,50.59887783251838,1740,3,baseline_lag24
hour,19,0.8310229885057472,1.1950394635911525,48.511469431800066,44.10322784835369,1740,3,baseline_lag24
hour,20,0.7229344827586207,1.0946649778782107,37.469154407279035,35.47705610308056,1740,3,baseline_lag24
hour,21,0.7476268568033273,1.1139962589183752,46.321005415050486,34.85956638239481,1683,3,baseline_lag24
hour,22,0.7070511788384128,1.0518598911415409,71.85519831659921,44.82310143423589,1739,3,baseline_lag24
hour,23,0.4614770114942529,0.7673474044267433,59.54335728156479,41.304777105034304,1740,3,baseline_lag24
